#,RDP Reference,Status,KPI Category,Definition (KPI),KPI Drivers - Initial input (Alix Partners),KPI Drivers as of 2.10.2025,"1. Board to 
Front line",2. Finance Co-owned,3. Embed policy-as-code,4. Standardized semantics,5. Integrate AI KPIs,"Driver Weighting
OPTIONAL",KPI Drivers ,Quality Criteria (1=Low),Quality Criteria (2=Low-Medium),Quality Criteria (3=Medium),Quality Criteria (4=Medium-High),Quality Criteria (5=High),
48,,confirmed,Organizational,International & Multicultural Collaboration,N/A,N/A,,,,,,,How effectively does the organization foster international and multicultural collaboration in AI development and deployment?,No global collaboration or diverse representation.,Occasional international collaboration in isolated projects.,Some cross-country teams or regional exchanges.,Regular multinational AI collaboration with cultural inclusion policies.,Deeply multicultural AI teams; global co-development and inclusive design embedded., 
49,,confirmed,Organizational,Organizational Culture and AI Mindset,N/A,N/A,,,,,,,How strongly is an AI-driven and innovation-oriented mindset embedded in the company’s organizational culture?,AI seen as IT tool; low awareness and cultural alignment.,Growing interest but mindset limited to tech teams.,Broader cultural awareness and experimentation encouraged.,AI mindset integrated into values and management principles.,Company-wide AI-first mindset with continuous innovation culture., 
50,,confirmed,Organizational,Change Management and Communication,N/A,N/A,,,,,,,How mature and effective are the company’s change management and communication practices in enabling AI adoption?,No structured change communication or leadership alignment.,Reactive communication; limited stakeholder buy-in.,Defined change processes for some AI projects.,Company-wide change management framework supporting AI adoption.,"Fully institutionalized change management with transparent, ongoing communication.", 
51,11,confirmed,Organizational,Cross-Functional Collaboration and Governance,N/A,N/A,x,,,x,x,,How well are cross-functional collaboration and governance structures established to coordinate AI initiatives across departments?,"Siloed initiatives, no AI governance.","Informal collaboration, unclear ownership.",Some shared governance committees and cross-functional pilots.,Defined governance model and collaborative workflows.,Fully integrated cross-functional AI governance with clear accountability and shared KPIs., 
52,,confirmed,Organizational,AI Literacy and Knowledge Sharing,N/A,N/A,,,,,,,To what degree has the company built AI literacy and encouraged knowledge sharing across the workforce?,No AI training or awareness.,Basic introductory learning for limited staff.,Regular training for key roles; informal sharing.,Structured AI learning and internal communities of practice.,"Enterprise-wide AI literacy programs, knowledge platforms, and culture of peer sharing.", 
53,,confirmed,Organizational,Cultural Readiness for Data-Driven Transformation,N/A,N/A,,,,,,,How ready is the company’s culture to embrace data-driven decision-making and continuous AI-enabled improvement?,Decisions made by intuition; resistance to data use.,Some leadership support for data use.,Increasing reliance on data in specific functions.,Data-driven culture promoted through leadership and tools.,Organization-wide belief and behavior rooted in data-driven and AI-enhanced decisions., 
54,,confirmed,Organizational,Community and Social Responsibility,N/A,N/A,,,,,,,How does the company integrate community engagement and social responsibility into its AI initiatives?,No awareness of social or community impact.,Minimal CSR efforts loosely connected to AI.,Defined social responsibility principles for AI.,Regular community engagement and ethical impact assessments.,"Transparent, measurable social responsibility embedded in AI lifecycle.", 
55,"12, 26",confirmed,Organizational,Ethical Culture and Continuous Improvement,N/A,N/A,,,,,,,To what extent does the company promote an ethical culture and mechanisms for continuous improvement in AI practices?,No ethics framework or oversight.,Awareness of AI ethics but no formal policy.,Defined AI ethics policy; limited enforcement.,Active ethics committee and continuous review process.,Ethics-by-design embedded across lifecycle; continuous learning and audits applied., 
56,"1, 3, 17",confirmed,Innovation,Not specifically called out in AI Playbook,Academic relationships- sponsorship and participation at conferences,Academic relationships- sponsorship and participation at conferences,,,,,,,Does the company sponsor or actively participate in AI research conferences and academic partnerships?,No public academic partnerships; no sponsorships; 0 co‑authored papers or joint labs.,1–2 ad‑hoc sponsorships/guest talks; 0–1 co‑authored paper; no formal MoU or joint lab; limited internships.,3–5 active collaborations or recurring sponsorships; ≥1 co‑authored paper or joint project; speaker/panel slots at recognized AI/telco events; 2–5 internships.,6–10 collaborations including ≥1 joint lab/MoU; ≥3 co‑authored papers in the last 24 months; repeated presence at NeurIPS/ICLR/KDD/AAAI or MWC/TM Forum/IEEE; scholarship programs.,>10 collaborations incl. multi‑year joint research labs; ≥6 co‑authored papers in the last 24 months; conference committee/organizing roles; joint IP/patents and a publicly announced research agenda., 
57,2,confirmed,Innovation,Not specifically called out in AI Playbook,Number of AI patents (5 years),Number of AI patents (5 years),,,,,,,How many AI-related patents has the company filed or granted in the past 5 years?,0–2 AI patent families.,3–9 families.,10–24 families.,25–49 families.,≥50 families., 
60,3,confirmed,Innovation,Not specifically called out in AI Playbook,Number of AI specific research papers published in the public domain (5 years),Number of AI specific research papers published in the public domain (5 years),,,,,,,How many AI-related research publications has the company released in 5 years?,0–4 papers.,5–14 papers.,15–34 papers.,35–74 papers.,≥75 papers., 
61,,confirmed,Innovation,Not specifically called out in AI Playbook,"Open source- overall engagement with open source development ecosystem, code repositories, open source projects (i.e. GitHub)","Open source- overall engagement with open source development ecosystem, code repositories, open source projects (i.e. GitHub)",,,,,,,To what extent does the company contribute to or lead open source AI projects and repositories?,Internal artificial intelligence code exists only in private repositories; no public repositories; no external visibility or publication process.,"At least 1 public artificial intelligence repository, even if small; irregular updates; basic documentation; no external contributors.","2–3 public repositories with occasional updates (1 per year or more); at least one external signal such as a star, issue, comment, or fork.","3–4 public repositories with periodic updates (at least once a year); at least one project referenced or used by an external developer, partner, or university; cumulative stars ≥5 across all repositories.","More than 4 public repositories with consistent updates; at least two repositories referenced, forked, or used externally; cumulative stars ≥15 across all repositories.", 
62,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,,,,x,,,x,,"How explicitly does AI enhance the customer value proposition (e.g., personalization, NPS, retention) and tie to growth/margin outcomes?",No explicit linkage between AI initiatives and customer value; no owned metrics; impact anecdotes only.,"Some qualitative links to CX (e.g., personalization pilots); limited metrics on NPS/retention; isolated case studies.","Defined hypotheses and KPIs (e.g., NPS, churn, ARPU); initial A/B tests show localized gains in ≥1 segment/market.","Programmatic measurement across ≥3 segments/markets; uplift targets embedded in product/CRM plans; ≥2 validated metrics (e.g., +NPS, −churn).","AI‑driven value creation is a core strategy lever; multi‑segment, multi‑market gains sustained (e.g., NPS +10, churn −15% YoY); outcomes drive roadmap & pricing.", 
63,,confirmed,Strategy,Strategic alignment- aligning growth and margin strategy to needs,,,,,,,,,"Evidence that AI strategy targets disruptive differentiation (new AI‑native offerings, pricing models, or channels) beyond efficiency.","Efficiency‑only narrative; no AI‑native business lines, products, or services or monetization ideas.",One‑off ideation sessions; early concepts exist but no validation pipeline.,Disruption opportunities captured in a living backlog; discovery experiments run quarterly; ≥1 concept with customer validation.,Dedicated AI venture/innovation track; staged funding and gates; ≥2 AI‑native offerings in pilot with unit economics tracked. (products/services/business lines),"AI‑native businesses, products, business lines operating at scale; cannibalization managed; disruptive revenue ≥10% of digital revenue with clear growth trajectory.", 
64,,confirmed,Strategy,Trust and change management- secure stakeholder buy-in to drive change,,,x,,,,,,"How clear are cross‑functional roles and responsibilities for AI (business, product, data, risk, legal) from idea to run?",Unclear ownership; hand‑offs ad hoc; decisions centralized or opaque.,"Some role definitions exist (e.g., product/data); risk/legal engaged late.",RACI defined for build/deploy/run; governance touchpoints scheduled; risk/legal involved pre‑deployment on sensitive use cases.,End‑to‑end operating model codified; stage gates with accountable owners; coverage ≥80% of AI use cases.,Operating model measured and improved; role clarity audited; >95% of use cases follow defined RACI with SLA adherence., 
66,,confirmed,Execution,Continuous learning and improvement. Refine models with new attributes and data,,,x,,,,x,,"How systematically are external benchmarks used to drive AI delivery performance (speed, quality, cost) and improvement targets?",No external benchmarking; delivery metrics not defined or inconsistent.,"Occasional peer comparisons; limited metric scope (e.g., only cycle time).","Benchmark set defined (e.g., lead time, failure rate, cost); baseline vs top‑quartile gap analyzed annually.",Targets set vs top‑quartile peers; OKRs tied to gap closure; retrospectives drive actions; measurable YoY improvement.,Continuous benchmarking with automated data feeds; OKRs auto‑updated; sustained top‑quartile performance across ≥4 core metrics., 
67,,confirmed,Execution,Business deployment- integration into on-going operations,,,x,,x,,,,"What business‑visible monitoring exists for models in production (performance, drift, data quality, incidents) and who sees it?",Black‑box models; no dashboards; issues discovered by users.,Basic tech dashboards; business metrics absent; manual checks.,Unified model health views incl. business KPIs; drift/data quality alerts; owners assigned.,"Role‑based real‑time dashboards for business, risk, and ops; coverage ≥80% of prod models; alert‑to‑action workflows with SLA.","Enterprise telemetry embedded; 100% critical models covered; explainability, audit trails, and rollback integrated; exec reviews monthly.", 
68,,confirmed,Execution,Performance and ROI tracking,,,x,x,,,x,,"Is there a standardized, auditable methodology to estimate and realize ROI for AI (ex‑ante and ex‑post)?",No consistent ROI method; impact claimed anecdotally.,Excel‑based TCO/benefit estimates; weak counterfactuals; ex‑post rarely measured.,Standard ROI templates incl. counterfactuals and confidence ranges; ex‑post review required for ≥50% launches.,"ROI approach audited; causal methods (e.g., A/B, diff‑in‑diff); ≥75% launches with verified ex‑post impact; benefits booked in finance.",Portfolio‑level ROI tracked quarterly; forecast vs actual variance ≤10%; ROI learnings feed selection and funding decisions., 
69,,confirmed,Execution,Rollout and Usage,,,x,,x,,,,"How well is delivery aligned with applicable AI/sector regulations during rollout and operation (e.g., DPIA, model cards, DSARs)?",Regulatory obligations unknown; no process or documentation.,Basic policies exist; compliance checks after build; limited evidence.,Rollout checklist includes DPIA/record of processing; model cards for sensitive use cases; DSAR process defined.,Multi‑region obligations mapped; evidence collected in tooling; ≥80% use cases with complete artifacts before go‑live.,Compliance‑by‑design; obligations monitored continuously; audits passed; evidence generated automatically; zero major findings in last 12 months., 
70,,confirmed,Execution,Business deployment- integration into on-going operations,,,x,x,,,,,"Is the AI use‑case portfolio actively balanced by impact, feasibility, risk, and time‑to‑value with stage‑gates?",Opportunistic backlog; no formal prioritization; frequent pivots.,Simple scoring matrix used sporadically; risk dimension implicit.,Multi‑criteria scoring incl. risk and data readiness; quarterly portfolio reviews; clear exit criteria for pilots.,"Targeted portfolio balance (e.g., 60/30/10 horizon mix); capacity allocated by tier; >70% of investments meet stage‑gate thresholds.",Dynamic rebalancing on signal changes; consistent horizon mix achieved; kill rates transparent; value/throughput steadily improves., 
71,,confirmed,Technical,MLOps and Model Management,,,,,x,,,,How mature and reproducible is the model development workflow (from experimentation to CI/CD and release)?,Ad hoc notebooks; environments unmanaged; manual releases.,Partial versioning; some scripted training; basic code review.,Standardized pipelines for train/eval/serve; artifact versioning; reproducible builds.,Full CI/CD for models and data; automated tests (data/robustness); canary releases and rollbacks; ≥80% of models use the workflow.,"End‑to‑end automation incl. feature store, lineage, governance gates; blue‑green/Shadow deploy at scale; 95%+ coverage.", 
72,,confirmed,Technical,Technology & Analytics platforms,,,,,,x,,,"Do users have a governed self‑service data & AI portal/marketplace (catalog, access control, usage analytics)?",No catalog; access via tickets; tribal knowledge.,Basic catalog; manual access approvals; stale metadata.,"Curated catalog with ownership, quality SLAs; role‑based access; usage tracking for popular assets.",Unified portal for data/models/features; approvals automated; lineage visible; >70% requests fulfilled via self‑service.,Marketplace drives network effects; recommendations/rating; policy‑as‑code; >90% requests self‑served with median wait <1h., 
73,,confirmed,Technical,Data Strategy and Architecture,,,,,,x,,,Is there an enterprise‑wide canonical data model that underpins AI/analytics across domains?,No common model; each team crafts its own definitions.,Initial conventions in 1–2 domains; collisions frequent.,Canonical model defined for priority domains; change process exists; mappings to sources documented.,Enterprise model adopted across ≥4 domains; governed extensions; model health KPIs tracked; breaking changes rare.,Canonical model is productized; downstream systems auto‑validated; cross‑company interoperability achieved., 
74,,confirmed,Technical,Data security & Privacy,,,x,,x,x,,,"How complete and enforced are data & model and policies/standards (quality, lineage, privacy, retention, access)?",Policies informal or outdated; violations unmanaged.,Core policies drafted; manual enforcement; training optional.,Approved policies for quality/lineage/privacy/retention/access; owners named; periodic attestation.,Automated policy checks in pipelines; exceptions tracked; ≥80% assets covered; staff trained annually.,Policy‑as‑code across stack; continuous monitoring; >95% coverage; zero critical violations in last 12 months., 
75,,confirmed,Technical,Data integration and interoperability,,,x,,,x,,,"To what extent is metadata (technical + business) captured and used to improve discovery, lineage, and MDM?",Scattered spreadsheets; minimal metadata captured.,Partial technical metadata; business glossary missing.,Central metadata repository; lineage for critical flows; initial business glossary with owners.,End‑to‑end lineage incl. ML features; glossary linked to KPIs; metadata drives impact analysis; ≥80% critical assets covered.,Active metadata; automated enrichment; MDM synchronized; discovery time reduced ≥50%; audit queries answered on demand., 
76,"5,6,7, 28",confirmed,Organizational,Cultural Readiness for Data-Driven Transformation,,,x,x,,,,,Is risk appetite for AI explicitly defined (by domain/use case) and used for approvals and guardrails?,No stated risk appetite; decisions case‑by‑case.,Generic statement exists; not applied in approvals.,"Risk thresholds defined for sensitive areas (e.g., privacy, safety); approvals reference them.",Risk appetite quantified by domain; thresholds tied to controls; exceptions tracked with owner and timeline.,Risk appetite operationalized enterprise‑wide; auto‑checks in workflows; risk profile reported to exec/board., 
77,,confirmed,Organizational,Community and Social Responsibility,,,,,,,,,How visible and concrete is the company’s public advocacy and action on responsible AI (AI‑for‑Good)?,No public position; no initiatives.,High‑level statement on website; isolated volunteer efforts.,Published commitments and KPIs; ≥1 active program; periodic updates.,Multi‑year portfolio with partners; impact metrics reported; external assurance for claims.,"Recognized leader; sustained, measurable social impact; open resources/tools widely used.", 
78,,confirmed,Organizational,AI Literacy and Knowledge Sharing,,,,,,,,,Are role‑based learning paths and curricula established for AI (from execs to engineers) with certification?,Ad hoc trainings; no curriculum; low participation.,Basic courses offered; attendance tracked; no proficiency targets.,"Role‑based curricula (e.g., exec, PM, DS, ops); assessments required; completion targets set.",Certifications recognized; on‑the‑job practice integrated; ≥80% of target roles certified; skills mapped to roles.,Continuous upskilling; paths tied to career progression and performance; skills inventory drives staffing., 
79,,confirmed,Innovation,Not specifically called out in AI Playbook,,,,x,,,,,How structured and scalable is experimentation (PoCs/pilots) with clear success metrics and governance?,Ad hoc PoCs; success undefined; learnings lost.,Basic pilot template; limited metrics; sporadic reviews.,Standard experiment design; predefined success/fail metrics; quarterly review board; ≥50% pilots evaluated.,Scaled pipeline with budgets and gates; ≥75% pilots evaluated; learnings codified and reused.,Experimentation is a core engine; hit rate improving YoY; time‑to‑pilot and time‑to‑production continuously shortened., 
80,,confirmed,Innovation,Not specifically called out in AI Playbook,,,,,,,,,"Are there structured alliances/JVs to accelerate AI value with shared IP, data, or distribution?","0 alliances or joint ventures related to artificial intelligence; only basic vendor or cloud relationships; no shared intellectual property, no shared data, no shared infrastructure.","1–3 non-binding collaboration agreements (memoranda, letters of intent) without financial commitments; no shared assets; no technical output, pilots, or governance structures in the last 24 months.",≥4 binding alliance with formal shared intellectual property terms and financial contribution from both parties; 1 early technical output (prototype or co-developed model) but no customer deployment and limited to one business area or one country.,"5–10 alliances or joint ventures with shared financial risk, joint ownership of intellectual property, and shared data or shared infrastructure; at least 1 joint solution deployed to customers with audited value contribution; execution spans multiple functions or multiple countries.","More than 3 multi-year alliances or joint ventures operating across several countries with co-investment, joint roadmaps, and shared commercial accountability; at least 2 customer-facing joint products that generate material profit-and-loss impact; governed through joint boards, contractual performance reviews, and renewal based on measurable outcomes.", 
81,,confirmed,Innovation,Not specifically called out in AI Playbook,,,,,,,,,"Do standardized, privacy‑preserving data‑sharing mechanisms exist across the ecosystem?",No frameworks; bilateral ad hoc exchanges.,Templates exist but not enforced; legal review each time.,"Frameworks defined (e.g., clean rooms, FL); templates for DPA/DSA; ≥1 partner live.",Multiple partners live; technical & legal controls measured; breaches/incidents monitored with SLA.,Ecosystem‑wide frameworks scaled; automated compliance checks; data‑sharing materially improves model performance and time‑to‑value., 
82,,confirmed,Innovation,Not specifically called out in AI Playbook,,,,,,,,,"Is the firm actively shaping AI standards and regulation via consortia, position papers, and pilots?",No participation; passive observer.,Membership in 1–2 bodies; limited engagement.,Active contributions (papers/working groups); participation in ≥1 standards pilot.,Leadership roles or chair positions; citations; pilots inform internal policies.,Recognized thought leader; influences regulation; measurable advantages from early alignment., 
83,1,confirmed,Innovation,Not specifically called out in AI Playbook,,,,,,,,,"How rigorous is partner/vendor capability assessment (security, compliance, quality, delivery, integration)?",Informal selection; references only.,Checklist exists; limited validation; no scoring.,Structured scoring with weightings; evidence required; ≥1 vendor audit/year.,Risk‑based assessments per use case; red teaming; ≥3 critical vendors audited/year; corrective actions tracked.,"Integrated, continuous assessment; performance‑based contracts; consistent vendor improvements YoY.", 
,,,,,,,,,,,,,,,,,,, 
